"Code";"Hero";"Red";"Green";"Blue"
"20181026-160704";"SAM";0.803921568627451;0.631372549019608;0.384313725490196
"20181026-173915";"SAM";0.811764705882353;0.63921568627451;0.384313725490196
"20181026-173915";"BOOMER";0.705882352941177;0.788235294117647;0.235294117647059
"20181026-184010";"BELLYLARF";0.803921568627451;0.643137254901961;0.392156862745098
"20181026-184010";"HANDSUM";0.694117647058824;0.784313725490196;0.196078431372549
"20181026-194520";"BELLYLARF";0.807843137254902;0.647058823529412;0.396078431372549
"20181026-194520";"SAM";0.796078431372549;0.631372549019608;0.396078431372549
"20181026-204551";"LIA";0.803921568627451;0.643137254901961;0.392156862745098
"20181026-204551";"LIA";0.803921568627451;0.631372549019608;0.392156862745098
"20181026-215110";"UNO";0.780392156862745;0.619607843137255;0.4
"20181026-215110";"V";0.827450980392157;0.643137254901961;0.423529411764706
"20181026-225352";"VEXX";0.776470588235294;0.611764705882353;0.384313725490196
"20181026-225352";"SAM";0.831372549019608;0.650980392156863;0.415686274509804
"20181027-091924";"SAM";0.803921568627451;0.643137254901961;0.384313725490196
"20181027-091924";"HANDSUM";0.780392156862745;0.647058823529412;0.356862745098039
"20181027-102051";"VEXX";0.807843137254902;0.647058823529412;0.388235294117647
"20181027-102051";"LIA";0.803921568627451;0.631372549019608;0.392156862745098
"20181027-112845";"LIA";0.701960784313725;0.792156862745098;0.192156862745098
"20181027-112845";"HILT";0.827450980392157;0.654901960784314;0.407843137254902
"20181027-123009";"BELLYLARF";0.807843137254902;0.647058823529412;0.388235294117647
"20181027-123009";"HANDSUM";0.807843137254902;0.627450980392157;0.384313725490196
"20181027-135017";"SAM";0.780392156862745;0.623529411764706;0.384313725490196
"20181027-135017";"BELLYLARF";0.827450980392157;0.654901960784314;0.407843137254902
"20181027-145034";"NANNA";0.709803921568627;0.8;0.203921568627451
"20181027-145034";"SAM";0.796078431372549;0.631372549019608;0.396078431372549
"20181027-155135";"NANNA";0.784313725490196;0.619607843137255;0.392156862745098
"20181027-155135";"UNO";0.811764705882353;0.658823529411765;0.443137254901961
"20181027-165507";"NANNA";0.811764705882353;0.650980392156863;0.392156862745098
"20181027-165507";"VEXX";0.807843137254902;0.627450980392157;0.384313725490196
"20181027-180946";"KIND";0.819607843137255;0.63921568627451;0.403921568627451
"20181027-180946";"VEXX";0.811764705882353;0.631372549019608;0.388235294117647
"20181027-191009";"REDROH";0.807843137254902;0.623529411764706;0.301960784313725
"20181027-191009";"TAM";0.831372549019608;0.650980392156863;0.407843137254902
"20181027-201215";"KIND";0.807843137254902;0.647058823529412;0.388235294117647
"20181027-201215";"LIA";0.807843137254902;0.635294117647059;0.388235294117647
"20181027-211809";"BELLYLARF";0.0549019607843137;0.572549019607843;0.854901960784314
"20181027-211809";"UNO";0.690196078431373;0.776470588235294;0.2
"20181027-221933";"VEXX";0.807843137254902;0.647058823529412;0.388235294117647
"20181027-221933";"VEXX";0.811764705882353;0.631372549019608;0.388235294117647
"20181027-232354";"WENDLE";0.819607843137255;0.63921568627451;0.396078431372549
"20181027-232354";"HILT";0.694117647058824;0.784313725490196;0.196078431372549
"20181028-002639";"BOOMER";0.831372549019608;0.650980392156863;0.349019607843137
"20181028-002639";"BOOMER";0.803921568627451;0.631372549019608;0.384313725490196
"20181028-080539";"NANNA";0.803921568627451;0.635294117647059;0.427450980392157
"20181028-080539";"BOOMER";0.823529411764706;0.650980392156863;0.403921568627451
"20181028-090839";"V";0.705882352941177;0.796078431372549;0.2
"20181028-090839";"BOOMER";0.803921568627451;0.631372549019608;0.384313725490196
"20181028-101353";"LIA";0.803921568627451;0.643137254901961;0.384313725490196
"20181028-101353";"WENDLE";0.807843137254902;0.635294117647059;0.388235294117647
"20181028-111639";"WENDLE";0.811764705882353;0.63921568627451;0.384313725490196
"20181028-111639";"LIA";0.807843137254902;0.635294117647059;0.396078431372549
"20181028-121944";"VEXX";0.807843137254902;0.647058823529412;0.396078431372549
"20181028-121944";"HANDSUM";0.807843137254902;0.627450980392157;0.384313725490196
"20181028-135421";"V";0.776470588235294;0.611764705882353;0.384313725490196
"20181028-135421";"TAM";0.713725490196078;0.792156862745098;0.270588235294118
"20181028-162848";"KIND";0.811764705882353;0.63921568627451;0.392156862745098
"20181028-162848";"LIA";0.0784313725490196;0.592156862745098;0.874509803921569
"20181028-184437";"REDROH";0.815686274509804;0.643137254901961;0.356862745098039
"20181028-184437";"KIND";0.807843137254902;0.627450980392157;0.384313725490196
