"Code";"Item";"Value"
"20181103-190726";"Tokens";13
"20181103-190726";"Scraps";59
"20181103-201815";"Tokens";11
"20181103-201815";"Scraps";20
"20181103-222206";"Tokens";10
"20181103-222206";"Scraps";21
"20181103-232513";"Tokens";14
"20181103-232513";"Scraps";45
"20181104-095347";"Tokens";7
"20181104-095347";"Scraps";59
"20181104-105712";"Tokens";14
"20181104-105712";"Scraps";27
"20181104-121044";"Tokens";14
"20181104-121044";"Scraps";28
"20181104-132709";"Tokens";9
"20181104-132709";"Scraps";55
"20181104-142740";"Tokens";7
"20181104-142740";"Scraps";29
"20181104-152828";"Tokens";9
"20181104-152828";"Scraps";43
"20181104-163027";"Tokens";5
"20181104-163027";"Scraps";35
"20181104-173152";"Tokens";12
"20181104-173152";"Scraps";52
"20181104-190814";"Tokens";7
"20181104-190814";"Scraps";34
"20181104-200939";"Tokens";11
"20181104-200939";"Scraps";52
"20181104-211715";"Tokens";6
"20181104-211715";"Scraps";32
"20181104-222805";"Tokens";10
"20181104-222805";"Scraps";52
"20181104-233048";"Tokens";6
"20181104-233048";"Scraps";47
"20181105-064511";"Tokens";10
"20181105-064511";"Scraps";32
"20181105-074648";"Tokens";14
"20181105-074648";"Scraps";54
"20181105-092117";"Tokens";9
"20181105-092117";"Scraps";23
"20181105-104601";"Tokens";6
"20181105-104601";"Scraps";52
"20181105-114657";"Tokens";11
"20181105-114657";"Scraps";32
"20181105-133119";"Tokens";7
"20181105-133119";"Scraps";29
"20181105-150423";"Tokens";11
"20181105-150423";"Scraps";49
"20181105-160557";"Tokens";10
"20181105-160557";"Scraps";52
"20181105-170716";"Tokens";8
"20181105-170716";"Scraps";46
"20181105-181146";"Tokens";8
"20181105-181146";"Scraps";45
"20181105-192543";"Tokens";12
"20181105-192543";"Scraps";39
"20181105-203916";"Tokens";10
"20181105-203916";"Scraps";31
"20181105-214140";"Tokens";10
"20181105-214140";"Scraps";40
"20181105-230927";"Tokens";13
"20181105-230927";"Scraps";34
"20181106-084101";"Tokens";14
"20181106-084101";"Scraps";48
"20181106-130426";"Tokens";9
"20181106-130426";"Scraps";28
"20181106-141441";"Tokens";12
"20181106-141441";"Scraps";58
"20181106-151629";"Tokens";8
"20181106-151629";"Scraps";30
"20181106-220229";"Tokens";14
"20181106-220229";"Scraps";25
"20181106-231716";"Tokens";8
"20181106-231716";"Scraps";30
"20181107-072411";"Tokens";12
"20181107-072411";"Scraps";33
"20181107-090309";"Tokens";12
"20181107-090309";"Scraps";52
"20181107-100448";"Tokens";13
"20181107-100448";"Scraps";25
"20181107-110549";"Tokens";10
"20181107-110549";"Scraps";32
"20181107-121048";"Tokens";14
"20181107-121048";"Scraps";57
"20181107-131311";"Tokens";11
"20181107-131311";"Scraps";24
"20181107-141734";"Tokens";7
"20181107-141734";"Scraps";40
"20181107-152119";"Tokens";6
"20181107-152119";"Scraps";44
"20181107-221723";"Tokens";8
"20181107-221723";"Scraps";56
"20181107-232555";"Tokens";11
"20181107-232555";"Scraps";24
"20181108-002752";"Tokens";11
"20181108-002752";"Scraps";31
"20181108-081545";"Tokens";8
"20181108-081545";"Scraps";42
"20181108-102609";"Tokens";5
"20181108-102609";"Scraps";38
"20181108-124140";"Tokens";5
"20181108-124140";"Scraps";31
"20181108-140229";"Tokens";9
"20181108-140229";"Scraps";43
"20181108-150442";"Tokens";14
"20181108-150442";"Scraps";53
"20181108-221141";"Tokens";7
"20181108-221141";"Scraps";37
"20181108-232537";"Tokens";12
"20181108-232537";"Scraps";58
"20181109-002546";"Tokens";10
"20181109-002546";"Scraps";55
"20181109-082250";"Tokens";13
"20181109-082250";"Scraps";38
"20181109-092853";"Tokens";14
"20181109-092853";"Scraps";58
"20181109-110030";"Tokens";11
"20181109-110030";"Scraps";21
"20181109-120838";"Tokens";11
"20181109-120838";"Scraps";46
"20181109-132459";"Tokens";13
"20181109-132459";"Scraps";31
"20181109-185407";"Tokens";14
"20181109-185407";"Scraps";55
"20181110-004708";"Tokens";5
"20181110-004708";"Scraps";46
"20181110-095224";"Tokens";5
"20181110-095224";"Scraps";54
"20181110-105408";"Tokens";10
"20181110-105408";"Scraps";53
"20181110-142629";"Tokens";7
"20181110-142629";"Scraps";59
"20181110-165757";"Tokens";13
"20181110-165757";"Scraps";30
"20181110-180640";"Tokens";8
"20181110-180640";"Scraps";28
"20181110-192629";"Tokens";11
"20181110-192629";"Scraps";28
"20181110-203053";"Tokens";14
"20181110-203053";"Scraps";34
"20181111-030145";"Tokens";11
"20181111-030145";"Scraps";52
"20181111-101246";"Tokens";13
"20181111-101246";"Scraps";48
"20181111-111626";"Tokens";7
"20181111-111626";"Scraps";20
"20181111-135106";"Tokens";13
"20181111-135106";"Scraps";24
"20181111-201602";"Tokens";13
"20181111-201602";"Scraps";23
"20181111-220848";"Tokens";7
"20181111-220848";"Scraps";41
"20181101-020108";"Tokens";8
"20181101-020108";"Scraps";50
"20181101-152650";"Tokens";5
"20181101-152650";"Scraps";46
"20181101-235116";"Tokens";6
"20181101-235116";"Scraps";55
"20181102-191317";"Tokens";13
"20181102-191317";"Scraps";40
"20181106-161732";"Tokens";14
"20181106-161732";"Scraps";55
"20181108-092043";"Tokens";8
"20181108-092043";"Scraps";30
"20181108-113930";"Tokens";5
"20181108-113930";"Scraps";42
"20181111-231027";"Tokens";11
"20181111-231027";"Scraps";48
"20181112-084426";"Tokens";13
"20181112-084426";"Scraps";36
"20181112-094719";"Tokens";14
"20181112-094719";"Scraps";58
"20181112-105458";"Tokens";5
"20181112-105458";"Scraps";50
"20181112-120049";"Tokens";6
"20181112-120049";"Scraps";54
